Size,7500
Attempt,1,2,3,
Heap,45289753,45289753,45289753,
Extra Heap,270391,270391,270391,
Stack,2864,2864,2864,

Size,15000
Attempt,1,2,3,
Heap,180505754,180505754,180505754,
Extra Heap,540390,540390,540390,
Stack,2864,2864,2864,

Size,22500
Attempt,1,2,3,
Heap,405721754,405721754,405721754,
Extra Heap,810390,810390,810390,
Stack,2864,2864,2864,

Size,30000
Attempt,1,2,3,
Heap,720937754,720937754,720937754,
Extra Heap,1080390,1080390,1080390,
Stack,2864,2864,2864,

Size,37500
Attempt,1,2,3,
Heap,1126153754,1126153754,1126153754,
Extra Heap,1350390,1350390,1350390,
Stack,2864,2864,2864,

Size,45000
Attempt,1,2,3,
Heap,1621369754,1621369754,1621369754,
Extra Heap,1620390,1620390,1620390,
Stack,2864,2864,2864,

Size,52500
Attempt,1,2,3,
Heap,2206585754,2206585754,2206585754,
Extra Heap,1890390,1890390,1890390,
Stack,2864,2864,2864,

Size,60000
Attempt,1,2,3,
Heap,2881801754,2881801754,2881801754,
Extra Heap,2160390,2160390,2160390,
Stack,2864,2864,2864,

Size,62500
Attempt,1,2,3,
Heap,3126873754,3126873754,3126873754,
Extra Heap,2250390,2250390,2250390,
Stack,2864,2864,2864,

Size,65000
Attempt,1,2,3,
Heap,3381945754,3381945754,3381945754,
Extra Heap,2340390,2340390,2340390,
Stack,2864,2864,2864,

Size,67500
Attempt,1,2,3,
Heap,3647017754,3647017754,3647017754,
Extra Heap,2430390,2430390,2430390,
Stack,2864,2864,2864,

Size,7500
Attempt,1,2,3,
Heap,45289753,45289753,45289753,
Extra Heap,270391,270391,270391,
Stack,2864,2864,2864,

Size,15000
Attempt,1,2,3,
Heap,180505754,180505754,180505754,
Extra Heap,540390,540390,540390,
Stack,2864,2864,2864,

Size,22500
Attempt,1,2,3,
Heap,405721754,405721754,405721754,
Extra Heap,810390,810390,810390,
Stack,2864,2864,2864,

Size,30000
Attempt,1,2,3,
Heap,720937754,720937754,720937754,
Extra Heap,1080390,1080390,1080390,
Stack,2864,2864,2864,

Size,37500
Attempt,1,2,3,
Heap,1126153754,1126153754,1126153754,
Extra Heap,1350390,1350390,1350390,
Stack,2864,2864,2864,

Size,45000
Attempt,1,2,3,
Heap,1621369754,1621369754,1621369754,
Extra Heap,1620390,1620390,1620390,
Stack,2864,2864,2864,

Size,52500
Attempt,1,2,3,
Heap,2206585754,2206585754,2206585754,
Extra Heap,1890390,1890390,1890390,
Stack,2864,2864,2864,

Size,60000
Attempt,1,2,3,
Heap,2881801754,2881801754,2881801754,
Extra Heap,2160390,2160390,2160390,
Stack,2864,2864,2864,

Size,62500
Attempt,1,2,3,
Heap,3126873754,3126873754,3126873754,
Extra Heap,2250390,2250390,2250390,
Stack,2864,2864,2864,

Size,65000
Attempt,1,2,3,
Heap,3381945754,3381945754,3381945754,
Extra Heap,2340390,2340390,2340390,
Stack,2864,2864,2864,

Size,67500
Attempt,1,2,3,
Heap,3647017754,3647017754,3647017754,
Extra Heap,2430390,2430390,2430390,
Stack,2864,2864,2864,

