15000,,,,
30000,,,,
45000,,,,
60000,,,,
75000,,,,
90000,,,,
105000,,,,
120000,,,,
135000,,,,
150000,,0.0,0.0,
15000,,,,
30000,1.9,1.9,1.9,
45000,2.8,2.8,2.8,
60000,3.7,3.7,3.7,
75000,4.7,4.7,4.7,
90000,5.6,5.6,5.6,
105000,6.5,6.5,6.5,
120000,7.5,7.5,7.5,
135000,8.4,8.4,8.4,
150000,9.3,9.3,9.3,
15000,9.3,9.3,9.3,
30000,18.5,18.5,18.5,
45000,27.8,27.8,27.8,
60000,37.1,37.1,37.1,
75000,46.3,46.3,46.3,
90000,55.6,55.6,55.6,
105000,64.9,64.9,64.9,
120000,74.1,74.1,74.1,
135000,83.4,83.4,83.4,
150000,92.6,92.7,92.7,
